,"Relaxed, Calm","Proud, Grand","Nourishing, Fullfilled","Attentive, Concentrating","Sad, Downhearted","Afraid, Frightened","Upset, Distressed","Inspired, Amazed","Energised, Excited","Happy, Cheerful","Determined, Confident","Safe, Cosy","Ashamed, Guilty","Shy, Bashful","Hostile, Angry"
Mystery,0.137,0.094,0.016,0.248,0.109,0.068,0.053,0.066,0.014,0.041,0.031,0.035,0.014,0.031,0.043
Varying_light,0.192,0.085,0.028,0.141,0.085,0.079,0.028,0.124,0.045,0.045,0.034,0.028,0.023,0.04,0.023
Presence_of_water,0.371,0.057,0.086,0.071,0.046,0.025,0.014,0.125,0.05,0.071,0.021,0.039,0.004,0.011,0.007
Connection_with_nature,0.183,0.045,0.17,0.116,0.04,0.027,0.027,0.116,0.045,0.071,0.022,0.067,0.031,0.027,0.013
Presence_of_animals,0.108,0.096,0.052,0.132,0.072,0.08,0.128,0.06,0.08,0.064,0.016,0.028,0.02,0.016,0.048
Biomorphic_shapes,0.127,0.14,0.047,0.167,0.113,0.067,0.073,0.107,0.033,0.013,0.02,0.02,0.013,0.033,0.027
Natural_materials,0.125,0.176,0.096,0.154,0.11,0.059,0.9,0.147,0.015,0.022,0.022,0.059,0.9,0.007,0.007
Unimpeded_views,0.333,0.028,0.125,0.042,0.042,0,0.014,0.153,0.097,0.056,0,0.056,0.028,0.014,0.014
Awe,0.128,0.055,0.064,0.119,0.128,0.083,0.037,0.183,0.018,0.055,0.009,0.046,0.028,0,0.046
Refuge,0.062,0.094,0.031,0.094,0.25,0.156,0,0.062,0.062,0.031,0.031,0.062,0.031,0,0.031
Natural_organisation,0.047,0.023,0.07,0.163,0.14,0.047,0.07,0.186,0.116,0.047,0,0.023,0,0,0.07
Presence_of_plants_fungi,0.278,0.022,0.183,0.106,0.044,0.006,0.006,0.039,0.044,0.128,0,0.133,0.006,0.006,0
Risk,0.039,0.079,0.008,0.079,0.142,0.205,0.157,0.055,0.024,0.016,0.031,0.016,0.024,0.016,0.11
Complexity_in_order,0.078,0.167,0.011,0.333,0.089,0.022,0.067,0.089,0.033,0.022,0.033,0.022,0.011,0.011,0.011
